"","max_PM2.5","max_O3","max_PM10","Longitude","Latitude","Elevation","Land.Use_AGRICULTURAL","Land.Use_COMMERCIAL","Land.Use_INDUSTRIAL","Location.Setting_RURAL","Location.Setting_SUBURBAN"
"295",3,0.053,29,-115.052942,36.048705,564,0,0,0,0,1
"296",2.1,0.059,8,-95.973142,41.247486,374,0,0,0,0,1
"297",5,0.051,3,-122.602877,45.496641,68,0,0,0,0,1
"298",7.75,0.051,14,-115.122953,36.191251,571,0,1,0,0,0
"299",6.4,0.027,27,-120.6693,35.25651,42,0,1,0,0,0
"300",2.45,0.037,9,-117.93845,33.83062,41,0,0,0,0,1
"301",19.4,0.026,58,-106.65739,35.01708,1508,0,1,0,1,0
"302",2.35,0.038,13,-77.54817,43.14618,137,0,0,0,0,0
"303",2.3,0.023,8,-107.862471,48.317507,795,1,0,0,1,0
"304",6.4,0.043,9,-112.111275,40.712146,1307,0,0,0,0,1
"305",1.7,0.046,11,-112.19193,33.57453,359,0,0,0,1,0
"306",7.7,0.026,10,-107.549444,43.081667,1800,0,0,1,1,0
"307",10.1,0.061,18,-82.739875,27.785866,11,0,0,0,0,1
"308",13,0.012,16,-121.126371,36.209286,104,0,0,0,0,0
"309",7.6,0.01,13,-97.314847,37.702066,404,0,0,0,0,0
"310",1.55,0.033,2.5,-78.370833,40.535278,372,0,0,1,0,1
"311",4.1,0.039,18,-104.778334,41.182227,1842,0,0,0,0,1
"312",4.7,0.056,28,-77.013178,38.921847,56,0,1,0,0,0
"313",14.3,0.046,74,-105.00518,39.77949,1602,0,0,0,0,0
"314",6.5,0.043,12,-78.915,40.309722,357,0,1,0,0,0
"315",9.5,0.041,15,-75.4325,40.611944,117,0,1,0,0,1
"316",4.7,0.021,10,-93.207615,45.13768,277,0,1,0,0,1
"317",13.7,0.062,103,-112.07526,33.40314,325,0,0,0,0,0
"318",1.3,0.034,5,-86.586362,34.687761,212,0,1,0,0,0
"319",3.65,0.05,45,-111.93471,33.41123,357,0,0,0,0,0
"320",13.3,0.088,32.5,-93.207615,45.13768,277,0,1,0,0,1
"321",-0.3,0.042,22,-104.778334,41.182227,1842,0,0,0,0,1
"322",5.9,0.037,28,-70.748017,43.075371,8,0,0,0,0,0
"323",5.1,0.027,21,-115.052942,36.048705,564,0,0,0,0,1
"324",8.93333333333333,0.038,16,-117.059075,32.631231,58,0,0,0,0,1
"325",12.1,0.045,57,-111.852199,41.842649,1353,0,0,0,1,0
"326",4.15,0.039,9,-75.4325,40.611944,117,0,1,0,0,1
"327",29.1,0.017,35,-120.680277,38.20185,310,1,0,0,1,0
"328",4.5,0.026,7,-107.862471,48.317507,795,1,0,0,1,0
"329",5.2,0.029,17,-106.5852,35.1343,1591,0,0,0,0,0
"330",4,0.017,7,-115.122953,36.191251,571,0,1,0,0,0
"331",14.2,0.028,21,-92.042908,30.22611,15,0,1,0,0,1
"332",-1.8,0.029,2,-87.913504,43.060975,209,0,1,0,0,0
"333",6.6,0.031,9,-103.63951,48.15278,584,0,0,0,0,1
"334",7.4,0.039,18,-97.475083,35.614131,355,0,0,0,0,1
"335",13.3,0.036,14,-120.435611,34.942872,70,0,1,0,0,0
"336",1.3,0.041,5,-117.4924,33.99636,231,0,0,0,0,1
"337",4.2,0.05,19,-120.994212,37.642165,29,0,1,0,0,0
"338",3.15,0.028,9,-112.19193,33.57453,359,0,0,0,1,0
"339",1.2,0.047,2,-120.4575,34.63782,34,0,1,0,0,0
"340",5.2,0.033,16,-114.021499,46.842181,969,0,0,0,0,1
"341",9.55,0.052,29,-119.643447,36.31567,76,0,0,0,0,1
"342",13.3,0.029,23,-111.93471,33.41123,357,0,0,0,0,0
"343",14.5,0.024,25,-94.635605,39.117219,273,0,0,0,0,0
"344",9.5,0.034,18,-95.326137,29.901036,26,0,0,0,0,1
"345",11.9,0.037,17,-111.975524,41.206321,1321,0,0,0,0,0
"346",0,0.027,3,-112.111275,40.712146,1307,0,0,0,0,1
"347",7,0.051,21,-79.802314,36.109006,246,0,0,0,0,0
"348",1.6,0.037,3,-95.973142,41.247486,374,0,0,0,0,1
"349",10.2,0.03,23,-117.93845,33.83062,41,0,0,0,0,1
"350",11.3,0.033,24,-117.32554,34.510961,913,0,0,0,0,1
"351",21.3,0.055,73,-119.8284,34.44551,18,0,0,0,0,1
"352",13.6,0.05,22,-95.976537,36.204902,201,0,0,0,0,0
"353",2.7,0.036,14,-77.40027,37.55652,54,0,0,0,0,1
"354",6,0.043,33,-88.621111,43.466111,267,1,0,0,1,0
"355",-1.1,0.037,3,-101.428056,47.185833,621,1,0,0,1,0
"356",8.6,0.037,10,-75.080833,39.991389,4,0,0,0,0,0
"357",3,0.036,8,-119.691218,34.427775,24,0,0,0,0,0
"358",5,0.037,13,-122.356811,37.9604,11,0,1,0,0,0
"359",11.8,0.018,73,-120.680277,38.20185,310,1,0,0,1,0
"360",7.5,0.044,19,-92.042908,30.22611,15,0,1,0,0,1
"361",4,0.047,18,-80.256944,26.053889,7,0,0,0,0,1
"362",7.1,0.042,16,-107.549444,43.081667,1800,0,0,1,1,0
"363",7.45,0.028,10,-83.2082,42.22862,179,0,1,0,0,1
"364",10.2,0.027,15,-81.3625,28.596389,27,0,1,0,0,0
"365",14.3,0.046,25,-96.807299,44.348604,499,1,0,0,1,0
"366",6.5,0.031,7,-121.894898,37.348497,19,0,1,0,0,0
"367",21.1,0.06,39,-120.034203,36.953256,85,0,1,0,0,1
"368",8.5,0.02,21,-119.8284,34.44551,18,0,0,0,0,1
"369",3.975,0.022,16,-107.119184,41.783389,2016,0,0,0,0,1
"370",32.8,0.07,45,-81.972222,28.028889,62,0,0,0,0,1
